category,variable,multiple_regression
demographic,avg_rsp_age,0
demographic,pct_female,0
demographic,avg_hh_size,0
demographic,pct_vulnerability_longterm,0
food_security,avg_rcsi_less_qlty,0
food_security,avg_rcsi_borrow,1
food_security,avg_rcsi_meal_adult,0
food_security,avg_rcsi_meal_size,0
food_security,avg_rcsi_meal_nb,0
food_security,avg_rcsi_no_eat,0
economic_security,pct_lcsi_informal_job,0
economic_security,pct_income_exp_food_insufficient,0
economic_security,pct_income_exp_other_insufficient,0
economic_security,pct_income_insufficiency_6m,0
economic_security,pct_debt_yes,0
economic_security,pct_programas_asistencia_gob,3
economic_security,pct_programas_asistencia,0
infrastructure,pct_fuente_agua_hh,0
infrastructure,pct_electricity_yes,1
infrastructure,pct_cooking_fuel_gas_elec,3
infrastructure,pct_desechos_solidos,0
infrastructure,pct_servicio_sanitatio_priv,2
housing,pct_makeshift_housing,0
housing,pct_vivienda_propiedad_own,3
housing,pct_vivienda_propiedad_own_female,0
hazards,pct_shocks_yes,0
hazards,pct_inseguridad_comunidad_yes,2
hazards,pct_nivel_violencia_increased,0
hazards,pct_mdv_imp_covid_job,0
hazards,pct_mdv_imp_covid_ing_decreased,2
hazards,pct_mdv_imp_covid_ing_loss,0
perceptions,pct_level_satisfaction_area_no,0
perceptions,pct_econ_condition_worse,0
perceptions,pct_living_condition_worse,0
perceptions,pct_level_satisfaction_living_no,2
perceptions,pct_income_satisfaction_struggling,0
perceptions,pct_income_satisfaction_critical,0
perceptions,pct_children_op_no,3
perceptions,pct_confidence_election_no,3
perceptions,pct_mig_ext_opinion_good,3
geographic,pct_rural,0
geographic,pct_rsp_mun,0
